year,make,model,trim,engine,epid,ebay_engine
1997,Dodge,Avenger,Base Coupe 2-Door,2.5L,73924434,2.5L 2497CC 152Cu. In. V6 GAS SOHC Naturally Aspirated
1998,Dodge,Avenger,ES Coupe 2-Door,2.5L,73924494,2.5L 2497CC 152Cu. In. V6 GAS SOHC Naturally Aspirated
1986,Dodge,B250,Base Extended Cargo Van 3-Door,5.9L,73924644,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
1985,Dodge,B250,Base Extended Passenger Van 3-Door,5.9L,73924684,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
1996,Dodge,B2500,Base Extended Passenger Van 3-Door,5.9L,73924794,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
1995,Dodge,B2500,Base Extended Cargo Van 3-Door,5.9L,73924874,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
1985,Dodge,B350,Base Extended Cargo Van 3-Door,5.9L,73924914,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
1995,Dodge,B3500,Base Extended Passenger Van 3-Door,5.9L,73925124,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
1991,Dodge,Caravan,C/V Mini Cargo Van 3-Door,3.0L,73925184,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1988,Dodge,B350,Base Extended Passenger Van 3-Door,5.9L,73925204,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
1997,Dodge,Caravan,LE Mini Passenger Van 4-Door,3.8L,73925264,3.8L 3778CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1992,Dodge,Caravan,LE Mini Passenger Van 3-Door,3.0L,73925274,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1990,Dodge,Caravan,LE Mini Passenger Van 3-Door,3.0L,73925284,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1997,Dodge,Caravan,Base Mini Passenger Van 4-Door,3.0L,73925344,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1998,Dodge,Caravan,Base Mini Passenger Van 4-Door,3.8L,73925394,3.8L 3778CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1989,Dodge,Caravan,C/V Mini Cargo Van 3-Door,3.0L,73925624,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1985,Dodge,D350,Base Standard Cab Pickup 2-Door,5.9L,73926174,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
2001,Dodge,Dakota,R/T Standard Cab Pickup 2-Door,5.9L,73926274,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
1989,Dodge,D350,Base Standard Cab Pickup 2-Door,5.9L,73926364,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
2003,Dodge,Dakota,SLT Crew Cab Pickup 4-Door,5.9L,73926494,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
2002,Dodge,Dakota,Sport Crew Cab Pickup 4-Door,5.9L,73926564,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
1998,Dodge,Durango,Base Sport Utility 4-Door,5.9L,73926724,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
2002,Dodge,Durango,SLT Sport Utility 4-Door,5.9L,73926744,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
1991,Dodge,Daytona,ES Hatchback 2-Door,3.0L,73926764,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
2001,Dodge,Durango,R/T Sport Utility 4-Door,5.9L,73926814,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
1998,Dodge,Grand Caravan,Base Mini Passenger Van 4-Door,3.0L,73926834,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1999,Dodge,Durango,Base Sport Utility 4-Door,5.9L,73926844,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
2000,Dodge,Grand Caravan,Sport Mini Passenger Van 4-Door,3.0L,73926864,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1999,Dodge,Grand Caravan,SE Mini Passenger Van 4-Door,3.0L,73926874,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1989,Dodge,Grand Caravan,LE Mini Passenger Van 3-Door,3.0L,73926884,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1989,Dodge,Dynasty,Base Sedan 4-Door,3.0L,73926924,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1997,Dodge,Grand Caravan,LE Mini Passenger Van 4-Door,3.8L,73926944,3.8L 3778CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1994,Dodge,Grand Caravan,Base Mini Passenger Van 3-Door,3.0L,73926964,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1997,Dodge,Grand Caravan,SE Mini Passenger Van 4-Door,3.0L,73927004,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
2000,Dodge,Grand Caravan,SE Mini Passenger Van 4-Door,3.8L,73927234,3.8L 3778CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1994,Dodge,Ram 2500,Base Standard Cab Pickup 2-Door,8.0L,73927474,8.0L 7990CC 488Cu. In. V10 GAS OHV Naturally Aspirated
2003,Dodge,Ram 2500,ST Cab & Chassis 2-Door,8.0L,73927594,8.0L 7990CC 488Cu. In. V10 GAS OHV Naturally Aspirated
1998,Dodge,Ram 2500,Base Standard Cab Pickup 2-Door,8.0L,73927644,8.0L 7990CC 488Cu. In. V10 GAS OHV Naturally Aspirated
1998,Dodge,Ram 3500,Base Standard Cab Pickup 2-Door,5.9L,73927684,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
1997,Dodge,Ram 3500,Base Extended Cab Pickup 2-Door,5.9L,73927734,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
2001,Dodge,Ram 3500,Base Standard Cab Pickup 2-Door,5.9L,73927784,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
1988,Dodge,Ramcharger,Base Sport Utility 2-Door,5.9L,73927964,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
2003,Dodge,Stratus,ES Sedan 4-Door,2.7L,73928284,2.7L 2736CC 167Cu. In. V6 GAS DOHC Naturally Aspirated
1996,Dodge,Viper,Base Convertible 2-Door,8.0L,73928374,8.0L 7990CC 488Cu. In. V10 GAS OHV Naturally Aspirated
1993,Dodge,W150,Base Standard Cab Pickup 2-Door,5.9L,73928444,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
1990,Dodge,W150,Base Standard Cab Pickup 2-Door,5.9L,73928554,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
1988,Dodge,W350,Base Standard Cab Pickup 2-Door,5.9L,73928674,5.9L 360Cu. In. V8 GAS OHV Naturally Aspirated
