year,make,model,trim,engine,epid,ebay_engine
1986,Ford,Aerostar,Base Mini Cargo Van 2-Door,3.0L,73961654,3.0L 2986CC 182Cu. In. V6 GAS OHV Naturally Aspirated
1990,Ford,Aerostar,Base Mini Cargo Van 2-Door,3.0L,73961734,3.0L 2986CC 182Cu. In. V6 GAS OHV Naturally Aspirated
1992,Ford,Aerostar,XLT Mini Passenger Van 2-Door,4.0L,73961794,4.0L 245Cu. In. V6 GAS OHV Naturally Aspirated
1995,Ford,Aerostar,XLT Plus Mini Passenger Van 2-Door,4.0L,73961804,4.0L 245Cu. In. V6 GAS OHV Naturally Aspirated
1990,Ford,Aerostar,XL Plus Mini Passenger Van 2-Door,3.0L,73961904,3.0L 2986CC 182Cu. In. V6 GAS OHV Naturally Aspirated
1992,Ford,Aerostar,XLT Sport Mini Passenger Van 2-Door,3.0L,73961934,3.0L 2986CC 182Cu. In. V6 GAS OHV Naturally Aspirated
1992,Ford,Aerostar,XL Sport Mini Passenger Van 2-Door,4.0L,73961954,4.0L 245Cu. In. V6 GAS OHV Naturally Aspirated
1987,Ford,Bronco,Custom Sport Utility 2-Door,5.8L,73961964,5.8L 5753CC 351Cu. In. V8 GAS OHV Naturally Aspirated
1993,Ford,Bronco,XLT Lariat Sport Utility 2-Door,5.0L,73962014,5.0L 302Cu. In. V8 GAS OHV Naturally Aspirated
1993,Ford,Bronco,XLT Lariat Sport Utility 2-Door,5.8L,73962054,5.8L 5753CC 351Cu. In. V8 GAS OHV Naturally Aspirated
1992,Ford,Bronco,XL Sport Utility 2-Door,5.0L,73962074,5.0L 302Cu. In. V8 GAS OHV Naturally Aspirated
1997,Ford,Aerostar,XLT Plus Mini Passenger Van 2-Door,4.0L,73962104,4.0L 245Cu. In. V6 GAS OHV Naturally Aspirated
1988,Ford,Bronco,Eddie Bauer Sport Utility 2-Door,5.8L,73962124,5.8L 5753CC 351Cu. In. V8 GAS OHV Naturally Aspirated
1987,Ford,Bronco II,XLT Sport Utility 2-Door,2.9L,73962144,2.9L 177Cu. In. V6 GAS OHV Naturally Aspirated
1996,Ford,Bronco,Eddie Bauer Sport Utility 2-Door,5.8L,73962174,5.8L 5753CC 351Cu. In. V8 GAS OHV Naturally Aspirated
1999,Ford,Contour,SVT Sedan 4-Door,2.5L,73962194,2.5L 2450CC 155Cu. In. V6 GAS DOHC Naturally Aspirated
1995,Ford,Crown Victoria,LX Sedan 4-Door,4.6L,73962204,4.6L 281Cu. In. V8 GAS SOHC Naturally Aspirated
1996,Ford,Bronco,XLT Sport Sport Utility 2-Door,5.8L,73962214,5.8L 5753CC 351Cu. In. V8 GAS OHV Naturally Aspirated
1990,Ford,Bronco,XLT Sport Utility 2-Door,5.0L,73962224,5.0L 302Cu. In. V8 GAS OHV Naturally Aspirated
1989,Ford,Country Squire,LX Wagon 4-Door,5.0L,73962234,5.0L 302Cu. In. V8 GAS OHV Naturally Aspirated
1996,Ford,Bronco,XLT Sport Utility 2-Door,5.0L,73962244,5.0L 302Cu. In. V8 GAS OHV Naturally Aspirated
2002,Ford,Crown Victoria,LX Sedan 4-Door,4.6L,73962264,4.6L 281Cu. In. V8 GAS SOHC Naturally Aspirated
1997,Ford,Crown Victoria,Police Interceptor Sedan 4-Door,4.6L,73962284,4.6L 281Cu. In. V8 CNG SOHC Naturally Aspirated
1998,Ford,Crown Victoria,LX Sedan 4-Door,4.6L,73962294,4.6L 281Cu. In. V8 CNG SOHC Naturally Aspirated
1994,Ford,Crown Victoria,LX Sedan 4-Door,4.6L,73962304,4.6L 281Cu. In. V8 GAS SOHC Naturally Aspirated
2000,Ford,Crown Victoria,S Sedan 4-Door,4.6L,73962354,4.6L 281Cu. In. V8 CNG SOHC Naturally Aspirated
2001,Ford,Crown Victoria,Police Interceptor Sedan 4-Door,4.6L,73962374,4.6L 281Cu. In. V8 CNG SOHC Naturally Aspirated
1990,Ford,Bronco II,XLT Sport Utility 2-Door,2.9L,73962394,2.9L 177Cu. In. V6 GAS OHV Naturally Aspirated
2001,Ford,E-150 Econoline,Base Standard Cargo Van 2-Door,4.2L,73962784,4.2L 256Cu. In. V6 GAS OHV Naturally Aspirated
1997,Ford,E-150 Econoline,Base Standard Cargo Van 2-Door,4.2L,73962814,4.2L 256Cu. In. V6 GAS OHV Naturally Aspirated
2000,Ford,E-150 Econoline,Base Standard Cargo Van 2-Door,5.4L,73962824,5.4L 330Cu. In. V8 GAS SOHC Naturally Aspirated
2003,Ford,E-150 Club Wagon,XL Standard Passenger Van 2-Door,4.2L,73963144,4.2L 256Cu. In. V6 GAS OHV Naturally Aspirated
2000,Ford,E-150 Econoline,XL Standard Cargo Van 2-Door,5.4L,73963154,5.4L 330Cu. In. V8 GAS SOHC Naturally Aspirated
2003,Ford,E-150 Club Wagon,XLT Standard Passenger Van 2-Door,4.6L,73963214,4.6L 281Cu. In. V8 GAS SOHC Naturally Aspirated
1997,Ford,E-150 Econoline,XL Standard Cargo Van 2-Door,5.4L,73963254,5.4L 330Cu. In. V8 GAS SOHC Naturally Aspirated
1999,Ford,E-150 Econoline Club Wagon,Chateau Standard Passenger Van 2-Door,4.6L,73963264,4.6L 281Cu. In. V8 GAS SOHC Naturally Aspirated
2002,Ford,E-150 Econoline Club Wagon,Chateau Standard Passenger Van 2-Door,4.6L,73963274,4.6L 281Cu. In. V8 GAS SOHC Naturally Aspirated
1985,Ford,E-150 Econoline Club Wagon,XL Standard Passenger Van 2-Door,5.0L,73963314,5.0L 302Cu. In. V8 GAS OHV Naturally Aspirated
1998,Ford,E-150 Econoline Club Wagon,Custom Standard Passenger Van 2-Door,4.6L,73963394,4.6L 281Cu. In. V8 GAS SOHC Naturally Aspirated
1999,Ford,E-150 Econoline Club Wagon,Chateau Standard Passenger Van 2-Door,4.2L,73963404,4.2L 256Cu. In. V6 GAS OHV Naturally Aspirated
1989,Ford,E-150 Econoline Club Wagon,XL Standard Passenger Van 2-Door,5.8L,73963434,5.8L 5753CC 351Cu. In. V8 GAS OHV Naturally Aspirated
1989,Ford,E-150 Econoline Club Wagon,Custom Standard Passenger Van 2-Door,5.0L,73963454,5.0L 302Cu. In. V8 GAS OHV Naturally Aspirated
1997,Ford,E-150 Econoline Club Wagon,Custom Standard Passenger Van 2-Door,4.2L,73963534,4.2L 256Cu. In. V6 GAS OHV Naturally Aspirated
1991,Ford,E-150 Econoline Club Wagon,XLT Standard Passenger Van 2-Door,5.8L,73963564,5.8L 5753CC 351Cu. In. V8 GAS OHV Naturally Aspirated
1995,Ford,E-150 Econoline Club Wagon,XLT Standard Passenger Van 2-Door,5.8L,73963584,5.8L 5753CC 351Cu. In. V8 GAS OHV Naturally Aspirated
